soc_2010,title_2010,group_id
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",404
37-3013,Tree Trimmers and Pruners,405
37-3019,"Grounds Maintenance Workers, All Other",406
39-1011,Gaming Supervisors,407
39-1012,Slot Supervisors,407
39-1021,First-Line Supervisors of Personal Service Workers (#),408
39-2011,Animal Trainers,409
39-2021,Nonfarm Animal Caretakers,410
39-3011,Gaming Dealers,411
39-3012,Gaming and Sports Book Writers and Runners,412
39-3019,"Gaming Service Workers, All Other",413
39-3021,Motion Picture Projectionists,414
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",415
39-3091,Amusement and Recreation Attendants,416
39-3092,Costume Attendants,417
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",418
39-3099,"Entertainment Attendants and Related Workers, All Other",419
39-4011,Embalmers,420
39-4021,Funeral Attendants,422
39-4031,"Morticians, Undertakers, and Funeral Directors",423
39-5011,Barbers,424
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",425
39-5091,"Makeup Artists, Theatrical and Performance",426
39-5092,Manicurists and Pedicurists,427
39-5093,Shampooers,428
39-5094,Skincare Specialists,429
39-6011,Baggage Porters and Bellhops,430
39-6012,Concierges,431
39-7011,Tour Guides and Escorts,432
39-7012,Travel Guides,433
39-9011,Childcare Workers,434
39-9021,Personal Care Aides,341
39-9031,Fitness Trainers and Aerobics Instructors,435
39-9032,Recreation Workers,436
39-9041,Residential Advisors,437
39-9099,"Personal Care and Service Workers, All Other (#)",421
41-1011,First-Line Supervisors of Retail Sales Workers,438
41-1012,First-Line Supervisors of Non-Retail Sales Workers,439
41-2011,Cashiers,440
41-2012,Gaming Change Persons and Booth Cashiers,441
41-2021,Counter and Rental Clerks,442
41-2022,Parts Salespersons,443
41-2031,Retail Salespersons,444
41-3011,Advertising Sales Agents,445
41-3021,Insurance Sales Agents,446
41-3031,"Securities, Commodities, and Financial Services Sales Agents",447
41-3041,Travel Agents,448
41-3099,"Sales Representatives, Services, All Other",449
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",450
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",451
41-9011,Demonstrators and Product Promoters,452
41-9012,Models,453
41-9021,Real Estate Brokers,454
41-9022,Real Estate Sales Agents,455
41-9031,Sales Engineers,456
41-9041,Telemarketers,457
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",458
41-9099,"Sales and Related Workers, All Other",459
43-1011,First-Line Supervisors of Office and Administrative Support Workers,460
43-2011,"Switchboard Operators, Including Answering Service",461
43-2021,Telephone Operators,462
43-2099,"Communications Equipment Operators, All Other",463
43-3011,Bill and Account Collectors,464
43-3021,Billing and Posting Clerks,465
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",466
43-3041,Gaming Cage Workers,467
43-3051,Payroll and Timekeeping Clerks,468
43-3061,Procurement Clerks,469
43-3071,Tellers,470
43-3099,"Financial Clerks, All Other",471
43-4011,Brokerage Clerks,472
43-4021,Correspondence Clerks,473
43-4031,"Court, Municipal, and License Clerks",474
43-4041,"Credit Authorizers, Checkers, and Clerks",475
43-4051,Customer Service Representatives,476
43-4061,"Eligibility Interviewers, Government Programs",477
43-4071,File Clerks,478
43-4081,"Hotel, Motel, and Resort Desk Clerks",479
43-4111,"Interviewers, Except Eligibility and Loan",480
43-4121,"Library Assistants, Clerical",481
43-4131,Loan Interviewers and Clerks,482
43-4141,New Accounts Clerks,483
43-4151,Order Clerks,484
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",485
43-4171,Receptionists and Information Clerks,486
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,487
43-4199,"Information and Record Clerks, All Other",488
43-5011,Cargo and Freight Agents,489
43-5021,Couriers and Messengers,490
43-5031,"Police, Fire, and Ambulance Dispatchers",491
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",492
43-5041,"Meter Readers, Utilities",493
43-5051,Postal Service Clerks,494
43-5052,Postal Service Mail Carriers,495
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",496
43-5061,"Production, Planning, and Expediting Clerks",497
43-5071,"Shipping, Receiving, and Traffic Clerks",498
43-5081,Stock Clerks and Order Fillers,783
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",499
43-6011,Executive Secretaries and Executive Administrative Assistants,500
43-6012,Legal Secretaries,501
43-6013,Medical Secretaries,502
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",503
43-9011,Computer Operators,25
43-9021,Data Entry Keyers,504
43-9022,Word Processors and Typists,505
43-9031,Desktop Publishers,506
43-9041,Insurance Claims and Policy Processing Clerks,507
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",508
43-9061,"Office Clerks, General",509
43-9071,"Office Machine Operators, Except Computer",510
43-9081,Proofreaders and Copy Markers,511
43-9111,Statistical Assistants,512
43-9199,"Office and Administrative Support Workers, All Other",513
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",514
45-2011,Agricultural Inspectors,515
45-2021,Animal Breeders,516
45-2041,"Graders and Sorters, Agricultural Products",517
45-2091,Agricultural Equipment Operators,518
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",519
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",520
45-2099,"Agricultural Workers, All Other",521
45-3011,Fishers and Related Fishing Workers,522
45-3021,Hunters and Trappers,522
45-4011,Forest and Conservation Workers,523
45-4021,Fallers,524
45-4022,Logging Equipment Operators,525
45-4023,Log Graders and Scalers,526
45-4029,"Logging Workers, All Other",527
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,528
47-2011,Boilermakers,529
47-2021,Brickmasons and Blockmasons,530
47-2022,Stonemasons,531
47-2031,Carpenters,532
47-2041,Carpet Installers,533
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",534
47-2043,Floor Sanders and Finishers,535
47-2044,Tile and Marble Setters,536
47-2051,Cement Masons and Concrete Finishers,537
47-2053,Terrazzo Workers and Finishers,538
47-2061,Construction Laborers,539
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",540
47-2072,Pile Driver Operators,541
47-2073,Operating Engineers and Other Construction Equipment Operators,542
47-2081,Drywall and Ceiling Tile Installers,543
47-2082,Tapers,544
47-2111,Electricians,545
47-2121,Glaziers,546
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",547
47-2132,"Insulation Workers, Mechanical",548
47-2141,"Painters, Construction and Maintenance",549
47-2142,Paperhangers,550
47-2151,Pipelayers,551
47-2152,"Plumbers, Pipefitters, and Steamfitters",552
47-2161,Plasterers and Stucco Masons,553
47-2171,Reinforcing Iron and Rebar Workers,554
47-2181,Roofers,555
47-2211,Sheet Metal Workers,556
47-2221,Structural Iron and Steel Workers,557
47-2231,Solar Photovoltaic Installers,558
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",559
47-3012,Helpers--Carpenters,560
47-3013,Helpers--Electricians,561
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",562
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",563
47-3016,Helpers--Roofers,564
47-3019,"Helpers, Construction Trades, All Other",565
47-4011,Construction and Building Inspectors,566
47-4021,Elevator Installers and Repairers,567
47-4031,Fence Erectors,568
47-4041,Hazardous Materials Removal Workers,569
47-4051,Highway Maintenance Workers,570
47-4061,Rail-Track Laying and Maintenance Equipment Operators,571
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,572
47-4091,Segmental Pavers,573
47-4099,"Construction and Related Workers, All Other",574
47-5011,"Derrick Operators, Oil and Gas",575
47-5012,"Rotary Drill Operators, Oil and Gas",576
47-5013,"Service Unit Operators, Oil, Gas, and Mining",577
47-5021,"Earth Drillers, Except Oil and Gas (#)",579
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",579
47-5041,Continuous Mining Machine Operators,580
47-5042,Mine Cutting and Channeling Machine Operators,583
47-5049,"Mining Machine Operators, All Other (#)",583
47-5051,"Rock Splitters, Quarry",584
47-5061,"Roof Bolters, Mining",581
47-5071,"Roustabouts, Oil and Gas",585
47-5081,Helpers--Extraction Workers,586
47-5099,"Extraction Workers, All Other",583
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",587
49-2011,"Computer, Automated Teller, and Office Machine Repairers",588
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",589
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",590
49-2091,Avionics Technicians,591
49-2092,"Electric Motor, Power Tool, and Related Repairers",592
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",593
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",594
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",595
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",596
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,597
49-2098,Security and Fire Alarm Systems Installers,598
49-3011,Aircraft Mechanics and Service Technicians,599
49-3021,Automotive Body and Related Repairers,600
49-3022,Automotive Glass Installers and Repairers,601
49-3023,Automotive Service Technicians and Mechanics,602
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,603
49-3041,Farm Equipment Mechanics and Service Technicians,604
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",605
49-3043,Rail Car Repairers,606
49-3051,Motorboat Mechanics and Service Technicians,607
49-3052,Motorcycle Mechanics,608
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,609
49-3091,Bicycle Repairers,610
49-3092,Recreational Vehicle Service Technicians,611
49-3093,Tire Repairers and Changers,612
49-9011,Mechanical Door Repairers,613
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",614
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",615
49-9031,Home Appliance Repairers,616
49-9041,Industrial Machinery Mechanics,617
49-9043,"Maintenance Workers, Machinery",618
49-9044,Millwrights,619
49-9045,"Refractory Materials Repairers, Except Brickmasons",620
49-9051,Electrical Power-Line Installers and Repairers,621
49-9052,Telecommunications Line Installers and Repairers,622
49-9061,Camera and Photographic Equipment Repairers,623
49-9062,Medical Equipment Repairers,624
49-9063,Musical Instrument Repairers and Tuners,625
49-9064,Watch Repairers,626
49-9069,"Precision Instrument and Equipment Repairers, All Other",627
49-9071,"Maintenance and Repair Workers, General",628
49-9081,Wind Turbine Service Technicians,629
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",630
49-9092,Commercial Divers,631
49-9093,"Fabric Menders, Except Garment",637
